board,angle,climb_name,date,logged_grade,displayed_grade,is_benchmark,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
tension,40,big dog o’clock,2020-05-05 16:39:21,6c/V5,6c/V5,False,1,True,1,1,False,True,
tension,40,It's Alive!,2020-08-03 16:31:28,5a/V1,5b/V1,True,1,True,1,1,False,True,
tension,40,Sea Freight,2020-08-03 16:34:12,5c/V2,5c/V2,True,1,False,1,1,False,True,
tension,40,Less Power,2020-08-03 16:37:43,6b/V4,6b/V4,True,1,True,1,1,False,True,
tension,40,Jiggles,2020-08-03 16:43:31,6a/V3,6b/V4,True,1,True,1,1,False,True,
tension,40,bell bottoms,2020-08-03 16:59:17,6a/V3,6a/V3,True,1,True,1,1,False,True,
tension,40,Getting By,2020-08-03 17:02:27,6b/V4,6b+/V4,True,1,False,1,1,False,True,
tension,40,Bubbles,2020-08-03 17:08:21,6b/V4,6b+/V4,True,1,True,1,1,False,True,
tension,40,Bus Stop,2020-08-03 17:14:58,6c/V5,6c/V5,True,1,False,1,1,False,True,
tension,40,Bus Stop,2020-08-03 17:15:17,6c/V5,6c/V5,True,1,True,1,1,False,True,
tension,40,Hot Dogs,2020-08-03 17:21:37,6a/V3,6a/V3,True,1,True,1,1,False,True,
tension,40,Hot Dogs,2020-08-03 17:21:48,6a/V3,6a/V3,True,1,False,1,1,False,True,
tension,40,December already,2020-08-03 17:54:04,7b/V8,7b/V8,True,1,False,1,1,False,True,
tension,40,It's Alive!,2020-08-07 08:28:43,5a/V1,5b/V1,True,1,True,2,2,True,True,
tension,40,It's Alive!,2020-08-07 08:29:53,5a/V1,5b/V1,True,1,False,1,1,False,True,
tension,40,the warmup,2020-08-07 08:31:17,5c/V2,5c/V2,True,1,False,1,1,False,True,
tension,40,the warmup,2020-08-07 08:32:14,5c/V2,5c/V2,True,1,True,1,1,False,True,
tension,40,JUG,2020-08-07 08:33:46,5c/V2,6a+/V3,True,1,True,1,1,False,True,
tension,40,My First Rodeo,2020-08-07 08:56:27,7a/V6,7a/V6,True,1,False,1,1,False,True,
tension,40,My First Rodeo,2020-08-07 08:58:14,7a/V6,7a/V6,True,1,True,1,1,False,True,
tension,40,Big Pinch Laps,2020-08-07 09:06:23,6b/V4,6b/V4,True,1,True,1,1,False,True,
tension,40,The Chair,2020-08-07 09:17:10,7a/V6,7a/V6,True,1,False,1,1,False,True,
tension,40,The Chair,2020-08-07 09:20:33,7a/V6,7a/V6,True,1,True,1,1,False,True,
tension,40,Yumping,2020-08-07 09:58:26,7a/V6,6c+/V5,True,1,True,1,1,False,True,
tension,40,Yumping,2020-08-07 09:59:12,7a/V6,6c+/V5,True,1,False,1,1,False,True,
tension,40,Pre-game,2020-08-10 09:51:57,5a/V1,4a/V0,True,1,True,1,1,False,True,
tension,40,Riopio,2020-08-10 09:52:58,4a/V0,4a/V0,True,1,True,1,1,False,True,
tension,40,Tell Me,2020-08-10 09:53:49,6a/V3,6a/V3,True,1,True,1,1,False,True,
tension,40,Fifty Dollar Bill,2020-08-10 09:56:01,6a/V3,6b/V4,True,1,False,1,1,False,True,
tension,40,Fifty Dollar Bill,2020-08-10 09:56:55,6a/V3,6b/V4,True,1,True,1,1,False,True,
tension,40,Goo Lagoon,2020-08-10 09:59:27,7a/V6,7a/V6,True,1,True,1,1,False,True,
tension,40,Goo Lagoon,2020-08-10 10:01:09,7a/V6,7a/V6,True,1,False,1,1,False,True,
tension,40,Intro To Power,2020-08-10 10:05:14,6b/V4,6b/V4,True,1,False,1,1,False,True,
tension,40,Intro To Power,2020-08-10 10:07:35,6b/V4,6b/V4,True,1,True,1,1,False,True,
tension,40,Chris,2020-08-10 10:13:53,6b/V4,6b/V4,True,1,True,1,1,False,True,
